Class,Crew,Country,Seat,Span,OarLength,OarInboard,OarOutboard
LW2x,A68EF0CB583BEA11E67957B5A7CA9A2A,GRE,1,159,284.5,88.5,196
LW2x,A68EF0CB583BEA11E67957B5A7CA9A2A,GRE,2,160,283.5,87.5,196
LW2x,ADC6CF47FDB18A7471C21962E543D6F4,RUS,1,159.5,285.5,87,198.5
LW2x,ADC6CF47FDB18A7471C21962E543D6F4,RUS,2,159.5,285.5,87,198.5
LW2x,867F8701F4939A7CFEB03A6317B6322F,SWE,1,158,286,87.5,198.5
LW2x,867F8701F4939A7CFEB03A6317B6322F,SWE,2,159,286,87.5,198.5
LW2x,D5C09C3EE73B59510C138C94512FB58D,SUI,1,,286,86.8,199.2
LW2x,D5C09C3EE73B59510C138C94512FB58D,SUI,2,,287,88,199
LW2x,5F060A5859F33F1F2D6041BC910FF2D0,GUA,1,158.5,285,87,198
LW2x,5F060A5859F33F1F2D6041BC910FF2D0,GUA,2,159.5,285,87,198
LW2x,FE7A02D8CEAB5E15EAC3BEDB8AACE7CA,PER,1,159,286,86.5,199.5
LW2x,FE7A02D8CEAB5E15EAC3BEDB8AACE7CA,PER,2,159,286,86.5,199.5
LW2x,23DE3B2F09604E77715BAED3D614FCB2,MEX,1,158,,,
LW2x,23DE3B2F09604E77715BAED3D614FCB2,MEX,2,158,,,
W2x,1BB605AECCD01FC218B2834F77CB5400,NZL,1,160,288,87,201
W2x,1BB605AECCD01FC218B2834F77CB5400,NZL,2,160,288,88,200
W2x,3198E44FAA6866DD827E08C9A3D0129B,USA,1,159.5,288,88,200
W2x,3198E44FAA6866DD827E08C9A3D0129B,USA,2,158.5,287,87.5,199.5
W2x,4F5041F5660D24B27F37699358F58624,AUS,1,159,288,87.5,200.5
W2x,4F5041F5660D24B27F37699358F58624,AUS,2,159,288,88,200
W2x,2920035CA40D87B5FE5A9E12A5A14CCB,LTU,1,158,287.5,87.5,200
W2x,2920035CA40D87B5FE5A9E12A5A14CCB,LTU,2,159,288,88,200
W2x,5801171C665EEB0FEBA8CB19044E0F18,CHN,1,159,288,88,200
W2x,5801171C665EEB0FEBA8CB19044E0F18,CHN,2,159,288,88,200
W2x,4F87999514684624686E31E3156F2562,FRA,1,160.5,287,87.5,199.5
W2x,4F87999514684624686E31E3156F2562,FRA,2,160.5,287,87,200
W2x,1EAEDDB408DA2449504403DB30DA4C21,CZE,1,,,,
W2x,1EAEDDB408DA2449504403DB30DA4C21,CZE,2,,,,
W2x,459732D105DFC9644638D61E0AB7678E,NED,1,159,287.5,88,199.5
W2x,459732D105DFC9644638D61E0AB7678E,NED,2,159,288,88.5,199.5
W2x,A9A18DC9DBE5A5CF73D0AABEDE5C8F71,ITA,1,161.5,288.5,89.5,199
W2x,A9A18DC9DBE5A5CF73D0AABEDE5C8F71,ITA,2,161,288.5,89.5,199
W2x,324B26C00DC6FE94FEA7CEE7030A916A,GER,1,160,285.5,87.5,198
W2x,324B26C00DC6FE94FEA7CEE7030A916A,GER,2,159.7,285.5,87.5,198
W2x,269FA46125C5E45DEF61071D7A25F673,SWE,1,159.4,285.5,86.7,198.8
W2x,269FA46125C5E45DEF61071D7A25F673,SWE,2,159.2,284.5,86,198.5
W2x,EF34F34E14A8B8836B91ECDC5F075B24,GRE,1,160,286,88,198
W2x,EF34F34E14A8B8836B91ECDC5F075B24,GRE,2,160,284.5,87,197.5
W2x,8756506D4A2D4B433476E2961663D52B,DEN,1,158,285,87,198.5
W2x,8756506D4A2D4B433476E2961663D52B,DEN,2,158.5,285,87,198.5
