Olympic,Class,Finish,Country,BoatManufacturer,BoatModel,Rigger,Mount,Backstay,Seat,Span,Spread,OarManufacturer,OarModel,OarShaft,OarLength,OarInboard,OarOutboard,BladeShape,BladeLength,BladeWidth,VortexEdge,WorkTrough,WorkHeels,WorkToes,StretcherAngle,SwivelAboveSeatStarboard,SwivelAboveSeatPortside,SwivelAboveSeatSweep,SeatAboveHeels,PitchStarboard,PitchPortside,PitchSweep,MeasurementDate
O,W2-,5,ESP,Filippi,F13,"Alum wing",Stern,Yes,2,,86,C2,Skinny,Soft,372,116,256,SM2P,54.5,25.5,No,17,30,,42.5,,,16.5,15,,,5,""
O,W2-,6,GER,Empacher,C34,"Carbon wing",Stern,Yes,1,,86.5,C2,Skinny,Med,373,117,256,SM2P,54.5,25.5,No,13.5,34,,43.2,,,14.7,19,,,3.4,""
O,W2-,6,GER,Empacher,C34,"Carbon wing",Stern,Yes,2,,87,C2,Skinny,Med,373,117,256,SM2P,54.5,25.5,No,15.5,34,,41.1,,,14,19.5,,,3.7,""
O,W2-,7,ITA,Filippi,F13,"Alum wing",Stern,Yes,1,,87,C2,Skinny,Soft,371,116,255,SM2P,54.5,25.5,No,12,40,,44,,,15.7,18.6,,,5.6,""
O,W2-,7,ITA,Filippi,F13,"Alum wing",Stern,Yes,2,,86.5,C2,Skinny,Soft,371,116.5,254.5,SM2P,54.5,25.5,No,13,37,,43,,,13.7,18,,,6,""
O,W2-,8,IRL,Filippi,,"Alum wing",Stern,Yes,1,,,Croker,Arrow,Soft,373.5,116,257.5,Smooth,55,25,No,,,,,,,,,,,,""
O,W2-,8,IRL,Filippi,,"Alum wing",Stern,Yes,2,,,Croker,Arrow,Soft,373,116,257,Smooth,55,25,No,,,,,,,,,,,,""
O,W2-,9,SRB,Empacher,C36,"Carbon Wing",Stern,Yes,1,,86.5,Croker,M4,Soft,373,116.5,256.5,Smooth,55,25,No,16,39,,41.8,,,16.5,15.5,,,3.5,""
O,W2-,9,SRB,Empacher,C36,"Carbon Wing",Stern,Yes,2,,86.5,Croker,M4,Soft,373,116.5,256.5,Smooth,55,25,No,17,35.5,,43.8,,,16,16,,,5.2,""
O,W2-,10,CHN,Empacher,C34,"Carbon Wing",Stern,Yes,1,,86,C2,Skinny,,373,116.5,256.5,SM2P,54.5,25.5,No,18,39,,40.8,,,16.5,19.5,,,5,"*+3 deg on blade"
